nom troupe,type spectacle
Nameleft+?,concert
JAM SESSION N°2,scène ouverte
Meridian Empire+?,concert
Impro sexe et genre,long form
Twist,long form
Impro buff,scène ouverte
Les grands méchants flous,cabaret
Les intermédiaires,cabaret
Lucky story,long form
Scène ouverte elisaba,scène ouverte
Réussite critique,long form
Master classe keng sam,cours
Julien Fosss'il Vous Plait,autre
Stage Theresa dudeck,cours
Resscene ouverte elisa,scène ouverte
Richard,cabaret
Keng sam et troupe,tête d'affiche
Bouchers romantiques,cabaret
Impro in love,long form
Bonjour bonjour,cabaret
Shout! Shout!+ Turfuzz,concert
Pensées \nLAB Ateliers Paris Impro,cabaret
impro d'enfert,cabaret
Match\ncavistes&fromager,match
Puzzle! - Les conteurs éphémères (à confirmer),cabaret
Kozoria+ Dementia+ Serenius,concert
les clacksons a 19h30,cabaret
Traits d'union,cabaret
Olivier amato,cours
Ant'act,cabaret
La page blanche,tête d'affiche
Guillaume & Co\nFais pas tant d'histoires !,long form
Soirée privée ulule accompagné par une fusion boobzik/SoU,concert
Captain A.Duck+ Otter tone,concert
Delorean's+ Clichy+?,concert
Antr'act,cabaret
Ian parisot,cours
semaine réunionaise,KO
Mathieu Lepage,long form
Krys Holden,concert
Piano Poupak,ko
Syndicat de Libération des Idées Potentielles,cabaret
Oscar Meika,concert
RELEASE PARTY: Liquid Bear,concert
carte blanche clacksons,cabaret
L'improconteuse,long form
soirée d'ouverture (programmation en description),KO
Jeux Drôles\nAurélie Rose,cabaret
Ateliers les impronautes,cours
The Squeaking Mouse+?,concert
Les ladies,long form
cours manu,cours
Mark Jane,tête d'affiche
Groupe Funk Quentin,concert
les ladies,long form
"Roland Dacos (peu de balances\, voir pas)",concert
Concert co-plateau spécial Noel,concert
match chutes libres VS Science Po,match
Bonnet M- Chut!,cabaret
Concert Nausikaa,concert
René Coty Group,concert
JAM SESSION N°3,scène ouverte
Galet Rouge - cedric casanova,long form
MATCH PIGALLOS/CLIQUE DU CLIC,match
Balance =reglage son,KO
La vie sur Mars,concert
Stacey smith,international
IMPROBOEUF SYLVAIN,scène ouverte
JAM SESSION N°1,scène ouverte
Alwenn,concert
storybox,chanson improvisée
Improvisades,match
match improvisades,match
Stand UP bonasse,autre
Tournoi affabulateurs,match
Cours Stéphane laine,cours
Noland colascourt,cours
Duo meng italien,tête d'affiche
Mentaliste,autre
Improsmose scène ouverte,scène ouverte
Spectacle élèves stage,cours
Bonne nouvelle nabla,long form
Johanna,long form
Stéphane laine,cours
Richard Cohen musique,concert
Ubisoft,cabaret
Act'or,cabaret
Drôles de cailles,cabaret
Roumains improvisades,autre
Danseur bizarre,autre
Soirée hispanique Dia de los muertos et café ole,cabaret
Impro un love,long form
Eleves Brassai,cabaret
Match d'improvisation compagnie merlot vs ogres Des prairire,match
Impro 2000 avec Joe bi'l,impro a l’américaine
Les gibbons masqués,cabaret
Amazing women,autre
Les impronautes,autre
Spectacle orlanski,autre
Stand up,autre
Clown nancy,clown
Paleonthologur,autre
Match employés vs associés,match
Zir Pachet+ Fonae+ Space in Bloom,concert
The Wealthy hobos+ ?,concert
Les clacks se barrent,cabaret
chantal guerande,cours
Impro! Le spectacle d'impro,cabaret
Les méconiums,cabaret
Les interdépendants \nfont leur cabaret,cabaret
Tiger + ?,concert
Enfants gatés,cabaret
impro Erard,cabaret
Paul et Louise + ?,concert
Kremlimpro,cabaret
Bonne nouvelle,cabaret
Olistik,cabaret
Grands méchants flous,cabaret
Spectacle richard,cabaret
Projet keith,ko
Contes,autre
Maestro dirigé par theresa avec caspar,tête d'affiche
Conteuse,autre
Les sesames,cabaret
Club de l'impro,scène ouverte
Isabelle Fresnay masterclass,cours
Jam session avec frderic,scène ouverte
La claque,long form
Les replikatous,long form
StudioFormidable,cabaret
Theresa dudeck stage,cours
Héritage des clacksons?,long form
Duos d'impro,long form
Chutes libres et réu festival,cabaret
Masterclass Isabelle fresnay,cours
Conférence climat,autre
Guillaume,long form
"Festival 72h de l'impro (les dictateurs gèrent la prod le samedi et dimanche après 18h\, et les spectacles durent un multiple de 30mn). Ouverture exceptionnelle le weekend ensoleillé a 14h",KO
Cours manu,cours
Duo d'impro,long form
Story bordeaux,long form
Catch impro,catch
Les show biz,cabaret
Le slip va les mpropotames,cours
Fête de la musique,KO
Les kikoss,cabaret
Tea boh,long form
guillaume garnier,concert
Trente,long form
Café olé,cabaret
Le cartel,long form
Masterclass poupakcomedie musicale puis scène ouverte comédie musicale,cours
Fluide\nLes écorcés,long form
Trouver régie pour catch impro 4 juillet,KO
Concert iris,concert
Brassai facettes,cabaret
Élèves barbara,cours
Acte 2,cabaret
The chimp prog spéciale,chanson improvisée
"Mark Jane et Fabio (2 spectacles de 40 minutes\, 20h et 21h30)",tête d'affiche
Masterclass caspar,cours
Programme long cycle court,long form
Match pigallo romains,match
Jess quintin,cabaret
Impro misical,scène ouverte
Masterclass JB chauvin,cours
Festival impronautes,autre
Open scene,scène ouverte
Dédicaces???,autre
Dédicaces - \nMark JANE\nIsabelle FRENAY\nSéverine DENIS\n(Julien GIGAULT),autre
Dédicaces -\nJibé CHAUVIN\nNabla LEVISTE\nHervé CHARTON\nsabrina PERNET,autre
Duo Hugh tebby,long form
festival bar-bars,autre
Afterbreak,autre
Cours impro,cours
Stage impro,cours
Poupak harold,impro a l’américaine
Scène ouverte musicale afila,scène ouverte
Open scène,scène ouverte
Atelier Improseine,KO
Ladies,long form
Strondovie,long form
Catch impro ( bug pas de catch le 3/01),catch
Swtasge richard,cours
Les écorcés,long form
